,Incident.year,Victim.injury,State,Latitude,Longitude,Shark.common.name,Shark.scientific.name,Provoked/unprovoked,Site.category,Incident.month
408,1946,fatal,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,11
409,1946,injured,SA,-34.96666667,138.5,white shark,Carcharodon carcharias ,unprovoked,coastal,12
410,1947,uninjured,NT,-12.45,130.7833333,tiger shark,Galeocerdo cuvier ,provoked,estuary/harbour,7
411,1947,injured,QLD,-16.55,139.4,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,10
412,1947,fatal,NSW,-31.33333333,152.8333333,bull shark,Carcharhinus leucas,unprovoked,river,11
413,1947,injured,NSW,-31.33333333,152.8333333,bull shark,Carcharhinus leucas,unprovoked,river,11
414,1947,injured,NSW,-31.7,152.75,bull shark,Carcharhinus leucas,provoked,estuary/harbour,12
415,1948,injured,WA,-31.98333333,115.5333333,wobbegong,Orectolobidae,provoked,island open ocean,1
416,1948,fatal,NSW,-32.85,151.8333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,2
417,1948,injured,QLD,-9.633333333,142.6833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,11
418,1948,fatal,QLD,-26.8,153.1333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
419,1948,uninjured,NSW,-33.85,151.25,tiger shark,Galeocerdo cuvier ,provoked,estuary/harbour,12
420,1949,uninjured,NSW,-33.88333333,151.2666667,whaler shark,Carcharhinidae,provoked,coastal,1
421,1949,injured,NSW,-29.1,153.4333333,wobbegong,Orectolobidae,provoked,coastal,1
422,1949,uninjured,NSW,-33.66666667,151.3,white shark,Carcharodon carcharias ,unprovoked,coastal,1
423,1949,fatal,NSW,-32.93333333,151.75,white shark,Carcharodon carcharias ,unprovoked,coastal,1
424,1949,uninjured,NSW,-33.65,151.3166667,white shark,Carcharodon carcharias ,unprovoked,coastal,2
425,1949,fatal,QLD,-16.71666667,145.6333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,4
426,1949,injured,WA,-17.96666667,122.1666667,bull shark,Carcharhinus leucas,unprovoked,coastal,5
427,1949,injured,TAS,-40.11666667,148.9333333,white shark,Carcharodon carcharias ,unprovoked,island open ocean,8
428,1949,injured,QLD,-16.81666667,145.7666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,8
429,1949,fatal,QLD,-16.81666667,145.7666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,8
430,1949,injured,NSW,-34,151.2,wobbegong,Orectolobidae,provoked,coastal,11
431,1950,injured,VIC,-37.96666667,144.7,wobbegong,Orectolobidae,provoked,coastal,1
432,1950,fatal,QLD,-16.9,145.85,tiger shark,Galeocerdo cuvier ,unprovoked,Coastal,4
433,1950,injured,QLD,-28.1,153.1,bull shark,Carcharhinus leucas,unprovoked,coastal,11
434,1950,uninjured,QLD,-23.11666667,150.7333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
435,1950,fatal,QLD,-28.1,153.4666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
